0.265048,1045.03,1097.39,0.366141,56.2529,35.2792,1688.12,525.554
0.11166,1158.99,1057.25,0.463733,62.6425,2.07525,1688.25,525.554
0.11166,1366.05,966.931,0.338218,74.9151,2.07525,1688.52,525.554
0.11166,2056.24,946.861,0.261524,77.2904,2.07525,1689.75,525.554
0.11166,3577.88,936.826,0.254549,102.89,2.07525,1692.97,525.554
0.557667,1045.03,1077.32,0.817953,56.2529,35.2792,1688.47,525.554
0.234935,1158.99,1057.25,1.04171,62.6425,2.07525,1688.6,525.554
0.234935,1366.05,966.931,0.76488,74.9151,2.07525,1688.87,525.554
0.234935,2056.24,946.861,0.603514,77.2904,2.07525,1690.1,525.554
0.234935,3577.88,936.826,0.587018,102.89,2.07525,1693.32,525.554
0.247646,1045.03,956.896,1.56078,56.2529,2.07525,1689.31,525.554
0.247646,1158.99,956.896,1.56078,62.6425,2.07525,1689.44,525.554
0.247646,1366.05,956.896,1.63612,74.9151,2.07525,1689.71,525.554
0.247646,2056.24,946.861,1.5134,77.2904,2.07525,1690.94,525.554
0.247646,3577.88,936.826,1.46602,102.89,2.07525,1694.16,525.554
0.289688,1045.03,936.826,1.04193,56.2529,2.07525,1690.72,525.554
0.289688,1158.99,936.826,1.04193,62.6425,2.07525,1690.85,525.554
0.289688,1366.05,936.826,1.04193,74.9151,2.07525,1691.12,525.554
0.289688,2056.24,936.826,1.04193,77.2904,2.07525,1692.35,525.554
0.289688,3577.88,936.826,1.04193,102.89,2.07525,1695.57,525.554
0.422314,1045.03,936.826,2.39733,56.2529,2.07525,1693.66,525.554
0.422314,1158.99,936.826,2.39733,62.6425,2.07525,1693.79,525.554
0.422314,1366.05,936.826,2.39733,74.9151,2.07525,1694.06,525.554
0.422314,2056.24,936.826,2.39733,77.2904,2.07525,1695.29,525.554
0.422314,3577.88,936.826,2.39733,102.89,2.07525,1698.51,525.554
